mfcc,zcr,srf,flux,chroma,class
"[-4.6038730e+02  9.5149223e+01  2.7092548e+01 -1.0131971e+01
 -6.2012285e-01 -1.0503892e+00 -5.1640673e+00  3.2328984e-01
 -1.9270273e+01 -7.4313372e-01 -1.7628386e+01 -1.1154374e+00
 -5.2207665e+00 -9.6734577e-01  1.8111968e+00  4.2111807e+00
  7.7083424e-02  2.9256895e+00 -4.8027295e-01 -3.8820555e+00
 -2.2656994e+00 -1.3526778e+00 -4.5932450e+00  1.9085921e+00
 -5.5128727e+00  2.2170286e+00 -2.0969260e+00  1.7540551e+00
  5.7291752e-01  2.8686883e+00 -1.4550166e+00  3.5453212e+00
  2.4872818e+00  5.6558247e+00  1.1075048e+01  1.0966732e+01
  1.3786616e+01  1.3535231e+01  7.5616474e+00  1.1064564e+01]",-0.8970204168245967,-1.9851890530014662,0.3233308738201427,"[0.14815068 0.17387787 0.22308652 0.33041722 0.3968956  0.3676017
 0.3393312  0.29631236 0.28393352 0.27063963 0.24072458 0.18429084]",disgust
"[-4.35902985e+02  1.02433670e+02  1.32253647e+01 -1.58902941e+01
 -1.80949860e+01 -8.13492966e+00 -1.05194921e+01 -1.13883018e+00
 -1.64709606e+01 -3.40822434e+00 -1.16422453e+01 -1.10936241e+01
  6.32406473e-01 -1.67292595e+00  5.59792042e+00  9.27603626e+00
  5.59449148e+00  1.13043165e+01  4.75385380e+00 -2.47935131e-01
  5.47309256e+00  6.53318691e+00 -6.22950017e-01  6.97760403e-01
 -4.17077875e+00  5.85394859e+00 -2.32888174e+00  6.93084717e+00
 -1.68249190e-01  8.19522858e+00  2.55644608e+00  3.56399894e+00
  4.30582380e+00  4.53421545e+00 -1.76614165e+00  6.74432659e+00
 -5.80855429e-01  4.26670218e+00  8.00163209e-01  7.74938679e+00]",-1.009195187845443,-1.9408509182536178,0.7677502760193167,"[0.24220653 0.266498   0.2966198  0.4015195  0.43390042 0.36689365
 0.3205946  0.35177535 0.3666237  0.3249301  0.3618748  0.31688735]",happy
"[-3.6675555e+02  3.8483513e+01  1.4046526e-01  1.6390877e+01
 -1.3723964e+01 -8.5312366e+00 -1.0536817e+01 -1.7848562e+01
 -1.0425706e+01 -2.6344259e+00 -9.2284288e+00  5.6280150e+00
 -4.3016610e+00  1.0398477e+01 -2.0049574e+00  5.1600881e+00
  6.2431083e+00 -9.9176103e-01 -1.4212284e+00  6.0657501e+00
 -7.9962854e+00  1.0962572e+00 -3.0605853e+00  3.1096891e-02
 -2.6726705e-01  2.3390768e+00  5.4034028e+00  6.5999284e+00
  6.0652618e+00  1.2542166e+01  7.2599387e+00  1.1398166e+01
  2.2172203e+00  3.1175294e+00 -1.2708262e-02  2.0355971e+00
 -9.1530871e-01  2.9271390e+00  6.0802567e-01 -1.8054961e+00]",0.22664137877260931,0.33567835046345057,1.3413047724881888,"[0.3156661  0.36360934 0.36404482 0.30917668 0.26085618 0.20169953
 0.17675106 0.23010492 0.30484644 0.35207087 0.38228032 0.3645718 ]",surprise
"[-4.7484921e+02  3.0198479e+01 -2.0865980e+01 -8.2095861e+00
 -6.4064994e+00 -1.7401333e+01 -1.0431370e+01 -1.1564170e+01
 -1.4525405e+01  2.7704518e+00 -8.5533323e+00 -1.9963419e+00
 -4.1440935e+00 -4.2393107e+00  1.8730096e+00  2.6170905e+00
  6.0911388e+00  1.7468496e+01  1.1533478e+01  1.0648500e+01
  4.3867440e+00  9.0387511e-01 -2.6470749e+00  3.1005695e+00
  1.9165984e+00  2.9183064e+00 -9.3983835e-01 -8.0193335e-01
  1.2788482e+00  2.7462914e+00  1.2748350e+00 -2.1928748e-01
  2.2984724e+00  5.8803210e+00  4.0494137e+00  4.0676026e+00
  1.8220811e+00  2.0401103e+00  8.9115906e-01  6.2186342e-01]",0.5966891573732344,1.2697568472061826,-1.0428520265557297,"[0.3818064  0.32313204 0.3592106  0.35902822 0.30630976 0.32310334
 0.46901155 0.58785444 0.5177288  0.45330802 0.45197517 0.4221175 ]",sad
"[-4.5443323e+02  5.8077511e+01  2.4169186e+01  1.7504715e+01
  9.1423492e+00  2.2087212e+00 -3.5089734e+00  4.7902226e+00
 -1.6976395e+01 -1.3938586e+00 -1.5503539e+01 -1.8902643e-01
 -4.3541579e+00  2.1239200e-01  2.1645296e+00  1.2806826e+00
 -5.8130159e+00  2.7433443e+00 -1.6595631e+00 -1.2275578e+00
 -4.8840320e-01 -9.1598761e-01 -3.5635691e+00 -2.2257638e+00
 -2.7504170e+00  4.1706896e+00  1.5086899e+00  7.4933195e+00
  1.8425356e+00  6.2876105e+00  2.8015244e+00  2.2274950e+00
  1.9081076e+00  2.5295024e+00  8.6762273e-01  2.4069114e+00
  4.8503995e+00  7.3184123e+00  9.7504101e+00  1.2701115e+01]",-0.9154071610693747,-0.5521680485992103,-0.04956530882393908,"[0.43827653 0.37197247 0.26871267 0.2710791  0.3645538  0.4457638
 0.37911838 0.26693988 0.26751542 0.29641795 0.35062063 0.38702667]",disgust
"[-5.8760651e+02  4.8644344e+01  8.3128262e+00  1.3077208e+01
  6.1178937e+00 -1.0250266e+01 -6.8699856e+00 -6.6280627e+00
 -4.4790726e+00 -5.0785961e+00 -6.2876396e+00 -3.0450392e+00
 -3.6921024e+00 -4.7381916e+00 -2.9037099e+00 -3.5977130e+00
 -5.2882738e+00  1.2002033e+00 -6.0662799e+00 -6.7559862e-01
 -6.2238708e+00  5.4829812e-01 -3.5321555e+00 -3.4366362e+00
 -2.1365914e+00  6.9221538e-01 -3.0213792e+00  1.5462704e+00
  1.0206463e-01 -4.3871012e-01 -4.6847209e-01  2.4918294e+00
 -4.5281720e-01  2.0827167e+00 -3.0414706e-01 -1.6053182e+00
 -2.6117296e+00  5.6627119e-01  6.2447792e-01  2.5060270e+00]",1.804647130765872,1.6251434566565848,-1.1054382626673385,"[0.5726897  0.5778452  0.41347483 0.4468995  0.50175256 0.41642454
 0.34683663 0.3954129  0.46589458 0.49611658 0.43927965 0.47794712]",surprise
"[-6.3143872e+02  5.7508968e+01 -4.2908721e+00  1.6429260e+01
  8.8651886e+00 -2.9710851e+00 -2.0718477e+00 -1.6997396e+01
 -5.9702253e+00  2.6494160e+00 -4.5699358e+00 -3.3310471e+00
  7.9250854e-01  1.2086340e+00  7.8294712e-01 -5.7005060e-01
 -2.3958192e+00  6.1008291e+00  4.1132698e+00  6.7610717e+00
  5.7111640e+00  6.3568625e+00  4.9200501e+00  1.0688564e+01
  6.9527745e+00  7.7188263e+00  3.4574351e+00  7.2519302e+00
  5.3625755e+00  4.5144248e+00  2.6987739e+00  1.9440216e+00
  6.5128851e-01  2.7814624e+00  1.3983469e+00  2.1365731e+00
  3.3432168e-01  9.6846759e-01 -1.4080340e+00 -6.1199582e-01]",-0.523515332282117,0.22776787668979195,-0.6955234175804047,"[0.45700115 0.4793442  0.5232051  0.49397972 0.42937398 0.4117022
 0.47596937 0.47993964 0.39235246 0.36802885 0.39727294 0.40275848]",sad
"[-2.8809183e+02  1.8592365e+01 -1.2120995e+01  2.7544138e+01
  5.7110846e-01 -9.5295181e+00 -3.7913599e+00 -4.7464356e+00
 -6.1836705e+00  2.5208058e+00 -1.6503796e+01  1.1142821e+01
 -3.2220514e+00  8.9477730e-01  9.3310442e+00 -4.7803655e+00
  2.0435920e+00  8.7486925e+00 -3.8790667e+00  1.6690985e+01
  7.9211063e+00  7.3870583e+00  6.1568542e+00  3.6860523e+00
 -2.2772584e+00  5.1080642e+00 -2.7433190e-01  4.3384438e+00
  6.4163595e-02  2.8854573e+00 -2.4204855e+00  1.1099176e+00
 -3.8467624e+00 -2.1259918e+00 -1.4484441e+00  7.6141137e-01
 -6.8204755e-01  2.8561976e+00 -1.1809087e+00  2.9035463e+00]",0.8059896005557818,1.0467368319503414,0.5249561950669749,"[0.40589252 0.40615237 0.4000903  0.37441546 0.34848735 0.29593456
 0.29384956 0.31459793 0.23632148 0.20945452 0.255147   0.30857462]",fear
"[-4.0655402e+02  9.0666512e+01  4.3196530e+00  2.1882673e+01
  2.5431654e+00 -3.3548543e+00 -6.5167599e+00 -2.0218241e+01
  8.7036800e-01  5.7809224e+00 -1.6063839e+01  1.0472404e+01
 -3.2159100e+00  4.8757024e+00  1.9490923e+00 -6.7718930e+00
  5.4486637e+00 -4.8913951e+00 -8.3871374e+00  1.7495217e+00
 -4.9049630e+00 -5.9660931e+00 -5.1054869e+00 -1.4659396e+00
 -6.3841305e+00 -1.8469821e+00 -2.4927051e+00 -7.4322090e-02
 -3.5864224e+00 -1.1820287e+00 -9.1251268e+00  9.9845238e-02
 -2.8932612e+00  1.0212939e+01  1.8833364e+01  2.9000744e+01
  2.4863401e+01  2.0153847e+01  5.6296186e+00  1.1306161e+00]",-1.070158922551524,-1.016058205572859,0.3342711068759939,"[0.27380645 0.51400495 0.226298   0.14235304 0.15054896 0.39334995
 0.7575392  0.42894405 0.22365536 0.16743623 0.16844048 0.18480675]",neutral
"[-4.1738309e+02  7.3143433e+01  1.3784877e+01 -2.1009306e+01
 -8.8115902e+00  8.9568567e+00 -1.2332682e+01 -1.6494981e+00
 -1.5492609e+01 -2.3736465e+00 -1.1666449e+01 -4.4321775e+00
 -3.3994327e+00  2.9302177e-01  2.1788533e+00  4.4190073e+00
  1.9925959e+00  1.1830113e+01  2.0763574e+00 -2.4545946e+00
  5.9641500e+00  1.9931778e+00  2.0923597e-01  4.1070185e+00
 -8.1958675e+00  3.5054612e+00  1.8491793e+00  4.0760107e+00
  1.0097145e+00  7.3136640e+00  2.1048694e+00  1.0154579e+01
  4.0109510e+00  4.3021488e+00  1.0456855e+00  7.3691144e+00
  3.8559971e+00  7.1649013e+00  5.1447687e+00  1.0259547e+01]",-0.1758359765634313,-0.658652850149938,0.2355950369001591,"[0.3078137  0.25480443 0.25700846 0.2809561  0.3557768  0.48455596
 0.39058712 0.29313657 0.33808172 0.34303227 0.35222608 0.34022266]",happy
